season,week,gameday,away_team,home_team,away_score,home_score,away_spread_line,home_spread_line,pred_prob_home_cover,pred_home_covers,recommended_pick,home_off_epa_last_n,away_off_epa_last_n,home_def_epa_allowed_last_n,away_def_epa_allowed_last_n,home_pace_plays_last_n,away_pace_plays_last_n,home_ats_rate_last_n,away_ats_rate_last_n,home_point_diff_last_n,away_point_diff_last_n,home_score_for_last_n,away_score_for_last_n,home_score_against_last_n,away_score_against_last_n,home_rest,away_rest,total_line,pred_prob_total_over,pred_total_over,ou_pick,actual_home_covers,actual_result,was_correct,home_cover_margin,actual_total_over,was_correct_ou,pick_probability
2025,19,2026-01-11,LAC,NE,3,16,3.5,-3.5,0.6990172136315054,1,NE to cover (-3.5),0.2967977096452386,-0.09996275351524371,-0.05686233788426774,-0.13412993918946595,59.0,63.6,0.8,0.6,15.6,0.6,34.4,18.2,18.8,17.6,7,7,45.5,0.5187490261529053,1,Over 45.5,1.0,NE covered (-3.5),1.0,9.5,0.0,0.0,0.6990172136315054
2025,16,2025-12-21,MIN,NYG,16,13,-2.5,2.5,0.3404235756913793,0,MIN to cover (-2.5),0.037081209578412724,-0.15780530357423114,0.13916839989410945,-0.10436044032218623,67.0,51.0,0.6,0.4,-8.8,-1.2,20.6,17.6,29.4,18.8,7,7,41.5,0.4305416829408506,0,Under 41.5,0.0,MIN covered (-2.5),1.0,-0.5,0.0,1.0,0.6595764243086206
2025,19,2026-01-10,LA,CAR,34,31,-10.0,10.0,0.65039753274462,1,CAR to cover (+10.0),-0.016765858974209007,0.2024241906227325,0.061112909541193264,0.055565449071324546,52.8,70.0,0.6,0.8,-3.2,9.6,19.0,36.8,22.2,27.2,7,6,44.5,0.5026478355887967,1,Over 44.5,1.0,CAR covered (+10.0),1.0,7.0,1.0,1.0,0.65039753274462
2025,18,2026-01-03,CAR,TB,14,16,3.0,-3.0,0.3602809923976011,0,CAR to cover (+3.0),0.016142692664040833,-0.052610651733301726,0.08349363830305864,0.05963531543892978,61.6,52.2,0.0,0.4,-1.6,-5.0,21.0,18.0,22.6,23.0,6,6,43.5,0.37643738041095803,0,Under 43.5,0.0,CAR covered (+3.0),1.0,-1.0,0.0,1.0,0.6397190076023989
2025,2,2025-09-14,SEA,PIT,31,17,3.5,-3.5,0.36462059870148905,0,SEA to cover (+3.5),-0.03557172516464883,-0.09947401918040093,0.19514435610345784,0.01810280336257648,57.4,53.6,0.2,0.0,-10.0,-3.2,18.4,17.2,28.4,20.4,7,7,40.5,0.5356393897510947,1,Over 40.5,0.0,SEA covered (+3.5),1.0,-17.5,1.0,1.0,0.635379401298511
2025,15,2025-12-14,MIN,DAL,34,26,5.5,-5.5,0.3649322979645131,0,MIN to cover (+5.5),0.04382310357680009,-0.2351609635246696,0.10818950762167596,-0.12742175131667272,66.0,53.2,0.6,0.2,-0.2,-4.4,27.0,14.6,27.2,19.0,10,7,47.5,0.6075667442116987,1,Over 47.5,0.0,MIN covered (+5.5),1.0,-13.5,1.0,1.0,0.6350677020354869
2025,17,2025-12-25,DET,MIN,10,23,-7.0,7.0,0.6319390381675829,1,MIN to cover (+7.0),-0.13064175106951148,0.15553405366671885,-0.17065294793466107,0.16019339998035773,51.2,61.6,0.6,0.2,-0.2,0.4,17.4,32.0,17.6,31.6,4,4,45.5,0.4654414330509404,0,Under 45.5,1.0,MIN covered (+7.0),1.0,20.0,0.0,1.0,0.6319390381675829
2025,12,2025-11-23,JAX,ARI,27,24,-2.5,2.5,0.37034606277426557,0,JAX to cover (-2.5),0.0003086431007845794,-0.03618593288908405,0.08414177721557044,-0.02525929414731095,70.0,68.6,0.6,0.2,-7.8,-2.6,24.2,22.6,32.0,25.2,7,7,47.5,0.51531986241269,1,Over 47.5,0.0,JAX covered (-2.5),1.0,-0.5,1.0,1.0,0.6296539372257344
2025,18,2026-01-04,NYJ,BUF,8,35,12.5,-12.5,0.6205022518202518,1,BUF to cover (-12.5),0.11122138888707352,-0.23105081355406845,-0.05530697925106516,0.23804029131011104,63.4,62.6,0.4,0.2,6.0,-20.8,27.0,14.6,21.0,35.4,7,7,39.5,0.5676227496358852,1,Over 39.5,1.0,BUF covered (-12.5),1.0,14.5,1.0,1.0,0.6205022518202518
2025,1,2025-09-07,DET,GB,13,27,1.5,-1.5,0.614481058259279,1,GB to cover (-1.5),0.02429176594532264,0.2113768442153844,-0.14430513442769807,0.15754003561268848,61.4,67.4,0.4,0.6,7.0,5.0,24.2,35.6,17.2,30.6,7,7,48.5,0.41392900543797906,0,Under 48.5,1.0,GB covered (-1.5),1.0,12.5,0.0,1.0,0.614481058259279
